Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Meta_Score,User_Score
1,WII SPORTS,WII,2006.0,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,76,8.1
3,MARIO KART WII,WII,2008.0,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,82,8.4
4,WII SPORTS RESORT,WII,2009.0,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,80,8.2
7,NEW SUPER MARIO BROS.,DS,2006.0,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,89,8.5
9,NEW SUPER MARIO BROS. WII,WII,2009.0,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,87,8.3
12,MARIO KART DS,DS,2005.0,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,91,8.7
15,WII FIT PLUS,WII,2009.0,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0,80,7.5
16,KINECT ADVENTURES!,X360,2010.0,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,61,6.4
17,GRAND THEFT AUTO V,PS3,2013.0,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,97,8.3
18,GRAND THEFT AUTO: SAN ANDREAS,PS2,2004.0,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,95,9.0
24,GRAND THEFT AUTO V,X360,2013.0,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,97,8.3
25,GRAND THEFT AUTO: VICE CITY,PS2,2002.0,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,95,8.8
29,GRAN TURISMO 3: A-SPEC,PS2,2001.0,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,95,8.4
30,CALL OF DUTY: MODERN WARFARE 3,X360,2011.0,Shooter,Activision,9.03,4.28,0.13,1.32,14.76,88,3.4
32,CALL OF DUTY: BLACK OPS,X360,2010.0,Shooter,Activision,9.67,3.73,0.11,1.13,14.64,87,6.4
35,CALL OF DUTY: BLACK OPS II,PS3,2012.0,Shooter,Activision,4.99,5.88,0.65,2.52,14.03,83,5.4
36,CALL OF DUTY: BLACK OPS II,X360,2012.0,Shooter,Activision,8.25,4.3,0.07,1.12,13.73,83,5.0
37,CALL OF DUTY: MODERN WARFARE 2,X360,2009.0,Shooter,Activision,8.52,3.63,0.08,1.29,13.51,94,6.4
38,CALL OF DUTY: MODERN WARFARE 3,PS3,2011.0,Shooter,Activision,5.54,5.82,0.49,1.62,13.46,88,3.2
39,GRAND THEFT AUTO III,PS2,2001.0,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,97,8.5
40,SUPER SMASH BROS. BRAWL,WII,2008.0,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04,93,8.8
41,CALL OF DUTY: BLACK OPS,PS3,2010.0,Shooter,Activision,5.98,4.44,0.48,1.83,12.73,88,6.5
42,ANIMAL CROSSING: WILD WORLD,DS,2005.0,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27,86,8.6
