Name,Platform,Year,Genre,Publisher,Global_Sales,Meta_Score,User_Score
WII SPORTS,WII,2006.0,Sports,Nintendo,82.74,76,8.1
MARIO KART WII,WII,2008.0,Racing,Nintendo,35.82,82,8.4
WII SPORTS RESORT,WII,2009.0,Sports,Nintendo,33.0,80,8.2
NEW SUPER MARIO BROS.,DS,2006.0,Platform,Nintendo,30.01,89,8.5
NEW SUPER MARIO BROS. WII,WII,2009.0,Platform,Nintendo,28.62,87,8.3
MARIO KART DS,DS,2005.0,Racing,Nintendo,23.42,91,8.7
WII FIT PLUS,WII,2009.0,Sports,Nintendo,22.0,80,7.5
KINECT ADVENTURES!,X360,2010.0,Misc,Microsoft Game Studios,21.82,61,6.4
GRAND THEFT AUTO V,PS3,2013.0,Action,Take-Two Interactive,21.4,97,8.3
GRAND THEFT AUTO: SAN ANDREAS,PS2,2004.0,Action,Take-Two Interactive,20.81,95,9.0
GRAND THEFT AUTO V,X360,2013.0,Action,Take-Two Interactive,16.38,97,8.3
GRAND THEFT AUTO: VICE CITY,PS2,2002.0,Action,Take-Two Interactive,16.15,95,8.8
GRAN TURISMO 3: A-SPEC,PS2,2001.0,Racing,Sony Computer Entertainment,14.98,95,8.4
CALL OF DUTY: MODERN WARFARE 3,X360,2011.0,Shooter,Activision,14.76,88,3.4
CALL OF DUTY: BLACK OPS,X360,2010.0,Shooter,Activision,14.64,87,6.4
CALL OF DUTY: BLACK OPS II,PS3,2012.0,Shooter,Activision,14.03,83,5.4
CALL OF DUTY: BLACK OPS II,X360,2012.0,Shooter,Activision,13.73,83,5.0
CALL OF DUTY: MODERN WARFARE 2,X360,2009.0,Shooter,Activision,13.51,94,6.4
CALL OF DUTY: MODERN WARFARE 3,PS3,2011.0,Shooter,Activision,13.46,88,3.2
GRAND THEFT AUTO III,PS2,2001.0,Action,Take-Two Interactive,13.1,97,8.5
SUPER SMASH BROS. BRAWL,WII,2008.0,Fighting,Nintendo,13.04,93,8.8
CALL OF DUTY: BLACK OPS,PS3,2010.0,Shooter,Activision,12.73,88,6.5
ANIMAL CROSSING: WILD WORLD,DS,2005.0,Simulation,Nintendo,12.27,86,8.6
MARIO KART 7,3DS,2011.0,Racing,Nintendo,12.21,85,8.2
HALO 3,X360,2007.0,Shooter,Microsoft Game Studios,12.14,94,7.9
GRAND THEFT AUTO V,PS4,2014.0,Action,Take-Two Interactive,11.98,97,83.0
SUPER MARIO 64,N64,1996.0,Platform,Nintendo,11.89,94,9.2
SUPER MARIO GALAXY,WII,2007.0,Platform,Nintendo,11.52,97,9.1
GRAND THEFT AUTO IV,X360,2008.0,Action,Take-Two Interactive,11.02,98,7.9
SUPER MARIO 3D LAND,3DS,2011.0,Platform,Nintendo,10.79,90,8.4
GRAN TURISMO 5,PS3,2010.0,Racing,Sony Computer Entertainment,10.77,84,7.8
CALL OF DUTY: MODERN WARFARE 2,PS3,2009.0,Shooter,Activision,10.69,94,6.4
GRAND THEFT AUTO IV,PS3,2008.0,Action,Take-Two Interactive,10.57,98,7.5
JUST DANCE 3,WII,2011.0,Misc,Ubisoft,10.26,74,8.0
CALL OF DUTY: GHOSTS,X360,2013.0,Shooter,Activision,10.21,73,2.6
HALO: REACH,X360,2010.0,Shooter,Microsoft Game Studios,9.88,91,8.1
NEW SUPER MARIO BROS. 2,3DS,2012.0,Platform,Nintendo,9.82,78,7.2
HALO 4,X360,2012.0,Shooter,Microsoft Game Studios,9.76,87,7.0
CALL OF DUTY: GHOSTS,PS3,2013.0,Shooter,Activision,9.59,71,2.6
JUST DANCE 2,WII,2010.0,Misc,Ubisoft,9.52,74,7.2
CALL OF DUTY 4: MODERN WARFARE,X360,2007.0,Shooter,Activision,9.32,94,8.5
MARIO PARTY DS,DS,2007.0,Misc,Nintendo,9.02,72,7.9
THE ELDER SCROLLS V: SKYRIM,X360,2011.0,Role-Playing,Bethesda Softworks,8.84,96,8.5
FIFA 16,PS4,2015.0,Sports,Electronic Arts,8.49,82,44.0
WII PARTY,WII,2010.0,Misc,Nintendo,8.49,68,7.9
MARIO PARTY 8,WII,2007.0,Misc,Nintendo,8.42,62,6.5
FIFA SOCCER 13,PS3,2012.0,Action,Electronic Arts,8.24,88,6.6
THE SIMS 3,PC,2009.0,Simulation,Electronic Arts,8.11,86,7.8
GOLDENEYE 007,N64,1997.0,Shooter,Nintendo,8.09,96,9.0
MARIO & SONIC AT THE OLYMPIC GAMES,WII,2007.0,Sports,Sega,8.06,67,7.7
FINAL FANTASY X,PS2,2001.0,Role-Playing,Sony Computer Entertainment,8.05,92,8.9
GRAND THEFT AUTO: LIBERTY CITY STORIES,PSP,2005.0,Action,Take-Two Interactive,7.72,88,7.7
